#{"t_start": 1691694854.5098696, "env_id": "None"}
r,l,t
-524.979036,132,1.282687
-568.368252,139,1.910549
-524.989277,126,2.453328
-527.51929,131,2.999501
-667.598172,157,3.573929
-469.082081,112,4.583581
-404.452287,101,5.050292
-588.162429,149,5.678759
-516.288188,122,6.21199
-703.886239,172,6.814298
-614.250373,153,7.91431
-428.835841,100,8.332015
-451.929288,115,8.848543
-470.098156,112,9.301076
-543.545718,132,9.849928
-494.571748,122,10.919739
-622.99519,160,11.46539
-549.310884,164,12.165467
-542.482193,124,12.640867
-488.683643,119,13.120782
-568.816234,137,14.107167
-489.471994,120,14.56035
-594.114129,137,15.069827
-575.965378,143,15.571804
-531.609325,123,16.113318
-554.326205,135,17.060049
-521.160067,131,17.556796
-612.04877,164,18.158551
-475.412705,110,18.596718
-547.026803,130,19.113971
-462.822799,130,20.079978
-536.906431,130,20.563532
-493.880854,114,21.062985
-449.145145,115,21.512539
-632.795714,161,22.462806
-497.780445,117,23.351336
-602.955024,140,23.873968
-496.97278,115,24.327631
-743.069594,189,24.976003
-501.862322,116,25.406146
-516.055395,131,26.37694
-514.059961,117,26.868106
-497.020739,129,27.347355
-561.895646,153,28.040757
-455.733935,106,28.59831
-398.065809,101,29.639268
-790.861964,192,30.56802
-511.886835,125,31.4305
-587.156612,138,32.170011
-348.854598,86,32.605193
-487.310852,130,33.807776
-570.537823,139,34.447792
-539.735152,129,34.986174
-656.100857,161,35.516257
-402.137234,94,35.958428
-665.927662,181,37.04192
-498.530061,143,37.553764
-426.082319,101,38.029264
-631.264371,150,38.559333
-571.714037,159,39.125674
-615.523627,155,40.158583
-538.6,146,40.803446
-489.718625,111,41.259484
-673.959957,182,41.891156
-437.838453,117,42.340427
-651.232972,151,43.344893
-678.002588,164,43.938039
-621.66234,148,44.4291
-543.992836,130,44.984032
-547.559486,146,45.475614
-615.779962,155,46.579141
-551.918729,130,47.097076
-598.39111,146,47.634175
-564.931847,144,48.17627
-625.183812,150,48.732976
-596.756082,140,49.688818
-497.303188,135,50.209743
-436.904899,103,50.643454
-573.425193,146,51.242802
-646.128534,162,51.8503
-396.938478,96,52.68834
-610.929353,150,53.314039
-556.187253,149,53.870495
-519.988256,145,54.362432
-599.843418,147,54.967093
-577.326318,155,56.362835
-529.287964,133,57.257695
-599.213704,158,57.887365
-569.075433,151,58.436018
-596.79349,147,59.020935
-464.711798,111,60.004333
-616.42721,155,60.540321
-511.227526,119,61.076162
-479.347532,115,61.546468
-597.833812,145,62.121268
-595.255206,146,63.409914
-442.795965,100,64.155847
-658.293218,153,64.95326
-422.899943,109,65.53375
-650.273584,166,66.478119
-552.371083,131,68.194719
-662.772363,174,69.225324
-620.38476,160,70.297878
-628.560213,169,71.290176
-533.425053,123,72.222939
-562.850976,134,73.605114
-560.521579,144,74.422661
-505.509025,126,75.1157
-517.531634,152,75.911833
-687.999095,177,76.627205
-565.418678,137,77.663423
-566.884305,149,78.22479
-490.551113,115,78.686424
-624.954815,150,79.239224
-444.783232,117,79.705341
-518.987921,119,80.600045
-482.838443,112,81.079547
-620.689632,148,81.588951
-558.379519,137,82.265011
-608.411836,146,82.878918
-691.234362,176,83.899063
-525.963979,129,84.350018
-504.846073,115,84.8481
-494.043019,122,85.29762
-551.444618,141,85.831748
-529.586284,124,86.758714
-544.792623,126,87.236898
-384.479306,93,87.638939
-602.899511,148,88.190377
-600.806409,153,88.789623
-578.85546,136,89.718776
-419.336359,102,90.144061
-621.233855,173,90.702954
-495.403183,117,91.193819
-583.184908,141,91.743228
-523.154101,133,92.690999
-450.576695,109,93.155047
-596.97734,146,93.639236
-433.753062,97,94.081352
-575.208259,131,94.530397
-505.044225,126,95.474047
-395.540744,95,95.921314
-528.827721,135,96.452779
-557.957417,139,97.02128
-470.58035,110,97.453726
-578.874353,140,98.46683
-553.15704,138,99.005436
-516.768046,131,99.48971
-547.535829,135,100.00372
-468.164677,105,100.411882
-745.417098,178,101.584612
-583.045754,144,102.136957
-525.726665,132,102.61561
-678.972977,171,103.242346
-515.936942,117,103.734696
-621.660074,156,104.785598
-486.220091,109,105.242103
-566.253784,144,105.805212
-703.877065,169,106.442647
-638.506318,171,107.093834
-595.08964,152,108.088644
-555.312062,137,108.57866
-552.838941,125,109.08991
-515.82428,115,109.548342
-445.261127,104,110.011052
-533.804457,141,110.945641
-564.039626,145,111.476665
-521.96524,121,111.997008
-400.902547,92,112.389629
-599.234264,151,112.985135
-447.141114,100,113.44254
-417.93045,103,113.899483
-496.522919,114,114.386054
-530.587756,120,114.884976
-594.35929,137,115.398233
-660.597544,161,116.057315
-251.381863,52,327.447628
-234.398234,51,331.311201
-212.775718,51,331.615632
-237.455137,51,332.012901
-227.545288,51,332.32424
-232.203385,51,332.681695
-245.611921,51,333.133363
-230.063014,51,339.273824
-234.149796,51,339.62272
-242.823198,51,339.971025
-240.557624,51,340.280494
-229.188438,51,340.626664
-250.900804,52,341.032102
-239.01268,51,348.41567
-226.198347,51,348.788163
-243.137237,51,349.208015
-243.360196,51,349.556781
-226.992714,51,349.941962
-241.553784,52,350.329299
-237.147608,51,362.321209
-262.415849,51,362.674666
-240.83126,51,363.062628
-239.181673,51,363.5283
-238.912286,51,363.926219
-248.887033,51,364.485045
-233.107155,51,377.706851
-245.022579,51,378.116753
-235.653994,51,378.507473
-253.58644,51,378.85293
-241.050063,51,379.349876
-233.627082,51,380.37597
-243.985066,51,389.569388
-249.884371,51,389.864786
-234.821408,51,390.188762
-226.350568,51,390.514014
-235.252289,51,390.813378
-245.318768,52,391.37411
-234.862572,51,397.648461
-255.29705,51,397.970127
-230.872537,51,398.314715
-239.464687,51,398.611897
-248.999809,51,398.915674
-239.384029,51,399.2819
-236.186531,51,405.128788
-240.261033,51,405.449593
-232.759871,51,405.771061
-222.886128,51,406.117385
-229.734729,51,406.444315
-254.536963,51,406.783527
-244.677755,51,412.655182
-237.821649,51,412.955259
-233.227178,51,413.310833
-238.878074,51,413.605686
-224.809758,51,413.891833
-232.824689,51,414.255328
-224.922756,51,420.157089
-241.17094,51,420.507927
-236.182793,51,420.817903
-243.342735,51,421.155304
-238.165183,51,421.484912
-231.277329,51,421.812857
-235.965419,51,428.099979
-224.303869,51,428.438977
-245.799508,51,428.744444
-235.856133,51,429.064835
-230.550107,51,429.442231
-224.53732,51,429.789817
-239.777341,51,435.688262
-248.109442,51,435.990489
-237.484994,51,436.342882
-253.638829,51,436.633971
-243.03486,51,436.93293
-247.085206,51,437.323967
-229.220236,51,443.362202
-243.88241,51,443.671784
-248.230463,51,443.967635
-233.317541,51,444.301309
-230.288478,51,444.598021
-222.919586,51,444.935703
-227.645493,51,451.024741
-223.954705,51,451.48296
-250.770935,51,451.917258
-234.025125,51,452.404786
-226.765774,51,452.775218
-228.241626,51,453.316714
-253.238131,51,464.741156
-245.819777,51,465.165206
-240.359434,51,465.491127
-242.129514,51,465.810052
-246.905715,51,466.134951
-233.574285,51,466.523617
-218.253512,51,473.03809
-231.488224,51,473.389109
-243.052718,51,473.703364
-231.894138,51,474.016066
-233.090982,51,474.367521
-245.263923,51,474.702918
-249.629271,51,480.762577
-248.101989,51,481.174884
-238.956581,51,481.513883
-225.785626,51,481.808318
