#{"t_start": 1691424182.8300047, "env_id": "None"}
r,l,t
-3207.882792,1093,6.484364
-3390.237772,1110,11.407817
-3347.328111,1103,16.31429
-3275.270496,1080,21.183122
-3072.404393,1115,26.139823
-3200.416379,1116,31.572932
-3142.357964,1103,36.515398
-3333.968407,1100,41.470644
-3081.292233,1107,46.425461
-3064.880052,1099,51.377004
-3255.312734,1109,56.856517
-3127.313079,1092,61.822059
-3354.42443,1099,66.78713
-3498.885195,1123,71.818606
-3162.562584,1121,76.840354
-3096.802308,1106,82.327884
-3180.383105,1095,87.322754
-3191.430964,1096,92.332443
-3346.101494,1092,97.3294
-3146.732579,1090,102.344886
-3259.428122,1100,107.834382
-3387.925378,1101,112.862036
-3300.155875,1081,117.855444
-3353.655601,1103,122.906402
-3308.007995,1102,127.951975
-3300.956152,1094,133.466666
-3190.675465,1111,138.554592
-3410.544596,1104,143.632409
-3365.507832,1100,148.703214
-3216.427093,1098,153.769997
-3087.370458,1088,159.320782
-3088.774005,1089,164.394336
-3335.8799,1106,169.490579
-3249.704503,1118,174.637979
-3177.534292,1088,179.732809
-3326.642899,1104,185.320578
-3260.973129,1083,190.40203
-3084.65925,1107,195.534647
-3223.048702,1099,200.668855
-3191.705835,1118,205.837327
-3030.673462,1081,211.442254
-3399.502617,1092,216.571914
-3323.583015,1092,221.704038
-3094.52748,1106,226.879865
-3297.606363,1091,232.021641
-3339.050706,1096,237.646225
-3340.573669,1105,242.821171
-3223.088578,1099,247.998496
-3137.341302,1093,253.163393
-3371.649028,1103,258.375026
-3295.439979,1112,264.092137
-3248.61483,1109,269.295819
-3353.959276,1088,274.4873
-3339.718344,1103,279.705392
-3344.053404,1101,284.922584
-3270.134112,1089,290.607382
-3129.925269,1106,295.845895
-3202.044833,1108,301.099247
-3078.818708,1095,306.329969
-3276.692736,1090,311.558352
-3274.505992,1087,317.292839
-3171.026885,1087,322.53031
-3345.642264,1088,327.75867
-3169.477689,1092,332.992968
-3334.967854,1113,338.294455
-3099.661471,1086,344.065471
-3316.948413,1110,349.369454
-3279.05397,1078,354.622528
-3171.587397,1089,359.885673
-3242.172954,1112,365.217425
-3302.769292,1101,371.068035
-3356.52339,1099,376.380914
-3185.799215,1099,381.703056
-3210.805842,1087,387.003866
-3239.614298,1095,392.317386
-3290.362933,1115,398.183808
-3061.178371,1098,403.52859
-3330.329524,1098,408.876782
-3230.177903,1102,414.245787
-3192.895223,1104,419.621851
-3359.159576,1095,425.484269
-3287.942048,1080,430.808095
-3314.748146,1096,436.190145
-3333.837189,1102,441.584879
-3045.464076,1090,446.953638
-3138.161207,1088,452.834306
-3366.391829,1090,458.199311
-3294.886457,1094,463.595714
-3185.025375,1094,468.995337
-3225.573551,1099,474.402094
-3141.800768,1097,480.326417
-3348.495617,1095,485.743078
-3325.764437,1100,491.168958
-3378.994882,1094,496.58806
-3333.235936,1094,502.005377
-3093.026272,1097,507.960833
-3418.715956,1101,513.413409
-3071.341543,1095,518.871363
-3373.831792,1100,524.333722
-3382.08348,1097,529.797282
-3167.375811,1100,535.786399
-3231.926185,1100,541.259339
-3170.245048,1087,546.716355
-3286.218531,1098,552.20561
-3226.462959,1100,557.692818
-3043.12883,1097,563.704968
-3089.895991,1111,569.236469
-3085.816915,1088,574.724741
-3334.588677,1102,580.240686
-3291.955964,1090,585.730688
-3411.350232,1107,591.795624
-3294.350874,1103,597.329061
-2983.084757,1094,602.829622
-3290.740004,1097,608.34882
-3370.846869,1100,613.894469
-3087.422785,1088,619.947528
-3075.999568,1081,625.453693
-3424.111861,1109,631.035966
-3348.200041,1106,636.595951
-3156.994962,1087,642.125994
-3060.747891,1092,648.206114
-3380.368758,1091,653.760822
-3334.761524,1108,659.35826
-3170.729572,1087,664.919194
-3198.349713,1093,670.479792
-3271.951254,1122,676.659728
-3130.847835,1095,682.239397
-3284.729278,1090,687.821645
-3326.865939,1094,693.412433
-3437.404868,1128,699.095768
-3145.712061,1094,705.226442
