#{"t_start": 1690984629.4507627, "env_id": "None"}
r,l,t
442.079463,197,1.738545
435.557177,197,2.970137
438.121669,197,4.175067
448.020768,197,5.412159
444.45926,197,6.64271
443.129378,197,8.719941
445.960624,197,9.971038
442.88757,197,11.215536
444.751476,197,12.448073
444.32022,197,13.680115
446.112789,197,15.637383
444.418596,197,16.882522
446.470072,197,18.087351
440.738074,197,19.33335
443.125625,197,20.592894
444.470501,197,22.465394
437.326001,197,23.706312
443.053042,197,24.928691
443.136267,197,26.169097
447.042354,197,27.408808
448.513249,197,29.302304
447.434648,197,30.649362
444.669457,197,31.977554
444.728848,197,33.282138
438.772565,197,34.520441
441.598185,197,36.52276
443.801026,197,37.775549
445.59186,197,39.03987
442.418969,197,40.265781
442.798947,197,41.503811
441.849856,197,43.425779
443.670724,197,44.782311
